AlgorithmName, Partial_Or_Unsorted, LengthOfData, TimeTakes_s,
BubbleSort, U, 20000, 2.058708
BubbleSort, U, 20000, 2.090390
BubbleSort, U, 20000, 2.010210
BubbleSort, U, 20000, 2.049592
BubbleSort, U, 20000, 2.046198
BubbleSort, P, 20000, 0.866177
SelectionSort, U, 20000, 0.890689
SelectionSort, P, 20000, 0.756081
SelectionSort, U, 20000, 0.898117
SelectionSort, P, 20000, 0.760257
InsertionSort, U, 20000, 0.546354
InsertionSort, P, 20000, 0.083325
InsertionSort, U, 20000, 0.523334
InsertionSort, P, 20000, 0.087797
InsertionSort, U, 20000, 0.590339
InsertionSort, P, 20000, 0.089370
MergeSort, U, 20000, 0.013382
MergeSort, P, 20000, 0.011581
MergeSort, U, 20000, 0.018215
MergeSort, P, 20000, 0.013651
MergeSort, U, 20000, 0.013946
MergeSort, P, 20000, 0.011735
MergeSort, U, 20000, 0.017284
MergeSort, P, 20000, 0.013135
QuickSort, U, 20000, 0.013791
QuickSort, P, 20000, 0.985679
QuickSort, U, 20000, 0.011248
QuickSort, P, 20000, 0.961104
QuickSort, U, 20000, 0.012951
QuickSort, P, 20000, 0.984179
QuickSortInbuilt, U, 20000, 0.010647
QuickSortInbuilt, P, 20000, 0.006195
QuickSortInbuilt, U, 20000, 0.010531
QuickSortInbuilt, P, 20000, 0.007331
QuickSortInbuilt, U, 20000, 0.010170
QuickSortInbuilt, P, 20000, 0.006379
